national_park,state,trail,activity,overall_rating,comment_title,comment_ratings,comment_text
Bryce Canyon National Park,Utah (UT),Wall Street,Geologic Formations,5.0,Great hike and jaw-dropping sights!,5.0 of 5 bubbles,"My wife and I started this beautiful loop trail early one recent day at Bryce.  This is a very popular trail - for good reason and despite crowds at some places we were able to enjoy some breath-taking sights in peace and mostly quiet.  If the steepness and steps are not too much for you, this is a must-do part of your Bryce Canyon visit."
Acadia National Park,Maine (ME),Otter Cliff,Geologic Formations,4.5,most of the pictures you will see in bar harbor stores. - it's from here.,3.0 of 5 bubbles,"so it was way down from road level and I did not feel like going down, but most of the pictures you will see in bar harbor stores. - it's from here. "
Acadia National Park,Maine (ME),Otter Cliff,Geologic Formations,4.5,Peaceful ,5.0 of 5 bubbles,"It was mid-40°’s when we went, but the sun kept us warm. We hiked about 3 miles along the coast and it was absolutely gorgeous. The water was so blue and it was peaceful to sit on the rocks and just listen to the waves crashing. Not very busy but there’s plenty of space to not be crowded around people. There is some ice left on the mountain, so be careful! "
Acadia National Park,Maine (ME),Otter Cliff,Geologic Formations,4.5,This is a do-not-miss on the Park Loop.,5.0 of 5 bubbles,"Otters cliffs and otter point were our second favorite place in the park, second only to the views from the Ocean Path itself.   We visited in the morning as well as in the evening and both times were beautiful.  The waves crashing over the rocks were fascinating to see, and the views of the bay, from sand beach, to schoodic point, were picture perfect.  Parking is hard to find unless you arrive before 9am or after 4pm (in August, anyway). Alternatively you can hike here via the Ocean Path trail."
Acadia National Park,Maine (ME),Otter Cliff,Geologic Formations,4.5,Very nice except the restrooms,5.0 of 5 bubbles,Very nice and beautiful. Can watch sunrise from here. Please don’t use the restrooms near the otter place. It’s disgusting. I didn’t expect it especially in a well known national park like Acadia. Very disappointed.
Acadia National Park,Maine (ME),Otter Cliff,Geologic Formations,4.5,Great view,4.0 of 5 bubbles,"Great hike from Sand beach to cliff.  Fantastic view and you can see Thunder Hole on the way.  Only drawback is parking and crowds.  I suggest either getting up early or heading here closer to 2 pm,"
Acadia National Park,Maine (ME),Otter Cliff,Geologic Formations,4.5,Otter cliff,5.0 of 5 bubbles,Otter cliff is the end of the ocean trail in Acadia. If you start at sand beach it is 1.5 miles from one end to the other. Offers some beautiful views to the ocean.
Acadia National Park,Maine (ME),Otter Cliff,Geologic Formations,4.5,Very Beautiful!,5.0 of 5 bubbles,"This is one of the tallest sea cliffs in the park. If you are hiking the ocean path from Otter Point, you first are on top of the cliffs and then you are looking back at it. The view looking back at it is a very famous picture. Hiking some of the ocean path is a must do because you are able to enjoy the coast at a slower pace and there are not many turnouts on the loop road to take pictures, especially if you want a picture of otter cliff."
Acadia National Park,Maine (ME),Otter Cliff,Geologic Formations,4.5,Walk This Way....,5.0 of 5 bubbles,"Spectacular views of the ocean....We parked by the Sand Beach and walked to Otter Cliff and back.  The walk is easy and the path is level.  It is a unique cliff walk because of the blue waters, pink granite stones and green vegetation. There are places where you can walk off the main path and get closer to the sea. Do not miss this walk."
Acadia National Park,Maine (ME),Otter Cliff,Geologic Formations,4.5,My favorite walking area in Acadia,5.0 of 5 bubbles,"There is a  lovely walking trail from the parking area at Otter point in two directions.  One toward Sand Beach and the other toward Otter Cove.  The latter was the prettiest of that stretch with some access to the ocean over pebble beaches, rocky tide pools. Easy walking on well maintained gravel trails.  Beautiful views of the ocean with cozy, forested stretches with shade."
Acadia National Park,Maine (ME),Otter Cliff,Geologic Formations,4.5,"A ""five"" all the way",5.0 of 5 bubbles,"Otter Cliffs/Point has a nice parking area across the one way road. Go on a receding tide and explore the rocks for sea urchins, starfish, and lost lobster buoys. The point gives you a terrific view of the ocean as boats move across the horizon. Plan a picnic and let the kids explore; however, watch them as they get close to the wave action when the tide comes in. There are many clean tide pool (ice cold) that they can wade through and urn over rocks to find crabs. Read a book and let the worries of the day evaporate away as you pause to see a bird or the lobster men raise their traps. It is a very special place away from the Bar Harbor crowds. Incoming tides on a windy day provide fantastic wave action. HINT: If you like Otter cliff, seek out Wanderland for another ""not so well known"" piece of paradise. Senior pass."
Canyonlands National Park,Utah (UT),White Rim Road,Biking Trails,5.0,Advice learned from my first White Rim Road adventure,5.0 of 5 bubbles,"I had a fantastic experience traveling on the White Rim Road for my first time.  It was not at all what I expected, but it was a thrilling and wonderful experience I plan to repeat.  The trip was ridiculously hot because it was in June, but none the less, I had a great time and I am currently planning another trip next April when the temperatures will be much milder.  It being my first trip I did learn a few things which I’ll try to pass on here."
Canyonlands National Park,Utah (UT),White Rim Road,Biking Trails,5.0,White rim canyon road trip,4.0 of 5 bubbles,"We just got back from this trip and it was a blast. The ranger at the station was very helpful in providing us information, but we never imagined it would be like it was. First, the scenery is second to none and there is more than enough thrills for the 4wd community without being outright treacherous to novices. I rate the difficulty as a 7.6 out of 10 and we did it in my 2010 Tundra. Some of the switchbacks are pretty tight but I only had to back it up twice around them. The road is bumpy and I should have deflated some air pressure, but we went in all stock and did ok.. Make sure your passenger isn't too distracted because they need to anticipate bumps and whatnot or could get whiplash fairly easily as my wife nearly did. Also, the steep parts around the hogback are not evident so you need to be ready to go to 4wd low at a moments notice or risk slipping backwards in 4wd high. Yep, a few parts are that steep. We were both bummed about no fires, but had our Coleman propane stove and the river was too high and fast to really go swimming, but all in all it was great.. I echo someone else's opinion about white crack camp site. It is head and shoulders above the others and off the main road a ways and could be easily overlooked, but make sure you sleep there for the night.. There's some unexpended old Winchester 300 mag ammo out there, just leave it alone and you'll find arrow heads and whatnot, leave that too and bring a telescope or binoculars for star gazing. I picked up a few plastic bottles along the way and added them to our trash, but again these guys take care of their parks like no one else in the country and it is clean and pristine out there, almost untouched. If you go out there do your part to help keep it that way and have yourself a blast."
